# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Sun Nov  2 00:17:36 UTC 2025

/esaguila-roja | Águila Roja
/esmytime-movie-network | MyTime Movie Network
/esruntime-accion | Runtime Acción
/esruntime-clasicos | Runtime Clásicos
/esruntime-comedia | Runtime Comedia
/esruntime-romance | Runtime Romance
/esruntime-series | Runtime Series
/esruntime-thriller | Runtime Thriller
1+1 International | 1+1 International
1-1-travel | 1+1 Travel
13.TV.es | 13 TV
24 Horas | 24 Horas
24 horas Canarias | 24 horas Canarias
24 horas Cataluña | 24 horas Cataluña
3/24.es | 3/24
324.es | 324
3CatInfo Catalunya | 3CatInfo Catalunya
3CatInfo | 3CatInfo
4K.Travel.TV.es | 4K Travel TV
5-minutes-craft-es | Ideas en 5 minutos
643054b1fc3be59477853717-5f12332eeca6a20040b328e5 | SKWAD
643054b1fc3be59477853717-5f123330eca6a20040b328e8 | TG Junior
643054b1fc3be59477853717-5f170d61b898490041b49369 | The Pet Collective
643054b1fc3be59477853717-5f170d62b898490041b4936e | FailArmy
643054b1fc3be59477853717-5f170f01b898490041b49dd1 | Yahoo Finance
643054b1fc3be59477853717-5f6b8e7900b0950040d0f2b2 | The World Poker Tour
643054b1fc3be59477853717-5f8746eabd529300418246d9 | GUSTOTV
643054b1fc3be59477853717-5f90ebc726350a002d40b136 | RACER International
643054b1fc3be59477853717-5fb81660b7ad2d002dcb7335 | Newsmax2
643054b1fc3be59477853717-5fd115b7b7ef8d002dcf1814 | Humor Mill
643054b1fc3be59477853717-5fd115b8b7ef8d002dcf1817 | Waypoint TV
643054b1fc3be59477853717-5fd115bdb7ef8d002dcf1820 | Hard Knocks
643054b1fc3be59477853717-60089d90f682a3002c348299 | Euronews
643054b1fc3be59477853717-60089d97f682a3002c34829d | Euronews Español
643054b1fc3be59477853717-6018913ea15130002b284191 | FreeTV Hits
643054b1fc3be59477853717-605a309dc5acdc002c7a20aa | FTF Sports
643054b1fc3be59477853717-606605549dbfca002d2ae873 | TNA Wrestling Channel
643054b1fc3be59477853717-606605549dbfca002d2ae877 | Fight Network
643054b1fc3be59477853717-608a2c722957c9002c6a617b | Wired2Fish
643054b1fc3be59477853717-60a9d105d162b9002d05a60c | GoUSA TV
643054b1fc3be59477853717-60aeb5cd87f9b1002ce12323 | NHRA TV
643054b1fc3be59477853717-60afc726623f2f002c5bb49f | Poker Night TV
643054b1fc3be59477853717-60b0f65c0c8ffb002c821a75 | Qwest TV
643054b1fc3be59477853717-60d4edd6b2fdec002c141123 | Johnny Carson TV
643054b1fc3be59477853717-60d4edd6b2fdec002c141125 | The Carol Burnett Show
643054b1fc3be59477853717-60d4edddb2fdec002c141135 | WildEarth
643054b1fc3be59477853717-60da3a5c0d1cc1002c38370e | Motorvision TV en Español
643054b1fc3be59477853717-60db63d29ec966002c9ea6f0 | Made In Hollywood
643054b1fc3be59477853717-60df3e18541143002f3b8607 | USA TODAY
643054b1fc3be59477853717-60e737a4ebef9d002c4d0a0c | AfroLandTV
643054b1fc3be59477853717-6112a9139894c8002c6cb87f | More U
643054b1fc3be59477853717-614398a08f30fa61e0da7c97 | True History
643054b1fc3be59477853717-614e286b2bac097ffd6fd6ab | Documentary+
