# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Jan 21 00:19:11 UTC 2026

4seven.uk | 4seven
5.USA.uk | 5 USA
5ACTION.uk | 5ACTION
5SELECT.uk | 5SELECT
5STAR+1.uk | 5STAR+1
5STAR.uk | 5STAR
5USA+1.uk | 5USA+1
GREAT!action+1.uk | GREAT!action+1
Gemporia.Craft.uk | Gemporia Craft
Gems.TV.uk | Gems TV
Get.Lucky.TV.uk | Get Lucky TV
Good.News.TV.uk | Good News TV
Greatest.Hits.Radio.(West.Sussex).uk | Greatest Hits Radio (West Sussex)
Greatest.Hits.uk | Greatest Hits
HGTV+1.uk | HGTV+1
HGTV.uk | HGTV
HUM.EUROPE.uk | HUM EUROPE
HUM.Masala.uk | HUM Masala
Heart.80s.uk | Heart 80s
Heart.90s.uk | Heart 90s
Heart.Dance.uk | Heart Dance
Heart.Sussex.uk | Heart Sussex
Heart.uk | Heart
Hidayat.TV.uk | Hidayat TV
High.Street.TV.1.uk | High Street TV 1
High.Street.TV.2.uk | High Street TV 2
High.Street.TV.3.uk | High Street TV 3
High.Street.TV.4.uk | High Street TV 4
Hits.Radio.uk | Hits Radio
HobbyMaker.uk | HobbyMaker
ID+1.uk | ID+1
ID.uk | ID
IQRA.BANGLA.uk | IQRA BANGLA
IQRA.TV.uk | IQRA TV
ITV.Quiz.uk | ITV Quiz
ITV1+1.uk | ITV1+1
ITV1.HD.uk | ITV1 HD
ITV2+1.uk | ITV2+1
ITV2.HD.uk | ITV2 HD
ITV3+1.uk | ITV3+1
ITV3.HD.uk | ITV3 HD
ITV4+1.uk | ITV4+1
ITV4.HD.uk | ITV4 HD
Ideal.Extra.uk | Ideal Extra
Ideal.World.HD.uk | Ideal World HD
Inspiration.TV.uk | Inspiration TV
Iran.Intl.HD.uk | Iran Intl HD
Islam.Ch.Urdu.uk | Islam Ch Urdu
Islam.Channel.uk | Islam Channel
Islam.TV.uk | Islam TV
Jazz.FM.uk | Jazz FM
JewelleryMaker.uk | JewelleryMaker
KICC.TV.uk | KICC TV
KTV.uk | KTV
Kanshi.TV.uk | Kanshi TV
Kerrang!.uk | Kerrang!
Khushkhabri.uk | Khushkhabri
LBC.News.uk | LBC News
LBC.uk | LBC
LFCTV.HD.uk | LFCTV HD
Legend.Xtra+1.uk | Legend Xtra+1
Legend.Xtra.uk | Legend Xtra
Legend.uk | Legend
Live.360.uk | Live 360
London.Live.uk | London Live
LoveWorld.HD.uk | LoveWorld HD
MATV.National.uk | MATV National
MTV.80s.uk | MTV 80s
MTV.90s.uk | MTV 90s
MTV.BASE.uk | MTV BASE
MTV.Classic.uk | MTV Classic
MTV.HD.uk | MTV HD
MTV.HITS.uk | MTV HITS
MTV.Live.HD.uk | MTV Live HD
MTV.MUSIC.uk | MTV MUSIC
MUTV.HD.uk | MUTV HD
Madani.Chnl.uk | Madani Chnl
More.Radio.Mid.Sussex.uk | More Radio Mid Sussex
More4+1.uk | More4+1
More4.HD.uk | More4 HD
Movies24+.uk | Movies24+
Movies24.uk | Movies24
NBCNewsNowHD.uk | NBCNewsNowHD
NDTV.24x7.uk | NDTV 24x7
NEO.News.uk | NEO News
NHK.World.HD.uk | NHK World HD
NOW.70s.uk | NOW 70s
NOW.80s.uk | NOW 80s
NOW.90s.uk | NOW 90s
NTD.uk | NTD
NTV.uk | NTV
Nat.Geo+1.uk | Nat Geo+1
Nat.Geo.HD.uk | Nat Geo HD
Nat.Geo.Wild.uk | Nat Geo Wild
NatGeoWild.HD.uk | NatGeoWild HD
New.Vision.TV.uk | New Vision TV
Nick.Jr+1.uk | Nick Jr+1
Nick.Jr..HD.uk | Nick Jr. HD
Nick.Jr..Too.uk | Nick Jr. Too
Nickelodeon+1.uk | Nickelodeon+1
NickelodeonHD.uk | NickelodeonHD
Nicktoons.uk | Nicktoons
Noor.TV.uk | Noor TV
Now.Rock.uk | Now Rock
PBS.America.uk | PBS America
PCNE.Chinese.HD.uk | PCNE Chinese HD
PCNE.Chinese.uk | PCNE Chinese
POLITICSPUNJAB.uk | POLITICSPUNJAB
POP+1.uk | POP+1
POP.Max+1.uk | POP Max+1
POP.Max.uk | POP Max
POP.uk | POP
PTC.PUNJABI.uk | PTC PUNJABI
PTV.Global.uk | PTV Global
Panjab.Radio.uk | Panjab Radio
Pitaara..uk | Pitaara
Planet.Rock.uk | Planet Rock
Premier.Sports.1.HD.uk | Premier Sports 1 HD
Premier.Sports.2.HD.uk | Premier Sports 2 HD
QUEST+1.uk | QUEST+1
QUEST.HD.uk | QUEST HD
QUEST.uk | QUEST
QVC.Beauty.uk | QVC Beauty
QVC.Extra.uk | QVC Extra
QVC.HD.uk | QVC HD
QVC.Style.HD.uk | QVC Style HD
Quest.Red+1.uk | Quest Red+1
Quest.Red.uk | Quest Red
ROK.uk | ROK
RTÉ.2FM.uk | RTÉ 2FM
RTÉ.Lyric.fm.uk | RTÉ Lyric fm
RTÉ.R.na.G.uk | RTÉ R na G
RTÉ.Radio.1.uk | RTÉ Radio 1
Racing.TV.HD.uk | Racing TV HD
Racing.TV.uk | Racing TV
Radio.X.uk | Radio X
Really.uk | Really
S4C.HD.uk | S4C HD
S4C.uk | S4C
SONY.MAX.2.uk | SONY MAX 2
SONY.MAX.HD.uk | SONY MAX HD
SONY.SAB.uk | SONY SAB
SONY.TV.HD.uk | SONY TV HD
STV.Central.+1.uk | STV Central +1
STV.Central.uk | STV Central
STV.HD.uk | STV HD
STV.North.+1.uk | STV North +1
STV.North.uk | STV North
Sangat.uk | Sangat
Sanskar.uk | Sanskar
Sikh.Channel.uk | Sikh Channel
Sky.Action.HD.uk | Sky Action HD
Sky.Action.uk | Sky Action
Sky.Adventure.uk | Sky Adventure
Sky.Arts.HD.uk | Sky Arts HD
Sky.Atlantic+1.uk | Sky Atlantic+1
Sky.Atlantic.HD.uk | Sky Atlantic HD
Sky.Cinema.Comedy.uk | Sky Cinema Comedy
Sky.Cinema.Hits.HD.uk | Sky Cinema Hits HD
Sky.Cinema.Select.uk | Sky Cinema Select
Sky.Comedy.HD.uk | Sky Comedy HD
Sky.Crime+1.uk | Sky Crime+1
Sky.Crime.HD.uk | Sky Crime HD
Sky.Documentaries.HD.uk | Sky Documentaries HD
Sky.Drama.HD.uk | Sky Drama HD
Sky.Family.HD.uk | Sky Family HD
Sky.Greats.HD.uk | Sky Greats HD
Sky.Greats.uk | Sky Greats
Sky.History+1.uk | Sky History+1
Sky.History2.uk | Sky History2
Sky.HistoryHD.uk | Sky HistoryHD
Sky.Kids.HD.uk | Sky Kids HD
Sky.Max.HD.uk | Sky Max HD
Sky.Mix.HD.uk | Sky Mix HD
Sky.Nature.HD.uk | Sky Nature HD
Sky.News.HD.uk | Sky News HD
Sky.Premiere.uk | Sky Premiere
Sky.Replay.uk | Sky Replay
Sky.ScFi/HorHD.uk | Sky ScFi/HorHD
Sky.Sci-Fi.HD.uk | Sky Sci-Fi HD
Sky.Showcase.uk | Sky Showcase
Sky.Sports.Football.HD.uk | Sky Sports Football HD
Sky.Sports.NFL.uk | Sky Sports NFL
Sky.Sports.Ultra.HD.1.uk | Sky Sports Ultra HD 1
Sky.Sports.Ultra.HD.2.uk | Sky Sports Ultra HD 2
Sky.Thriller.HD.uk | Sky Thriller HD
Sky.Valentine.uk | Sky Valentine
Sky.Witness+1.uk | Sky Witness+1
Sky.Witness.HD.uk | Sky Witness HD
SkyAdventureHD.uk | SkyAdventureHD
SkyAnimationHD.uk | SkyAnimationHD
SkyHistory2HD.uk | SkyHistory2HD
SkyMegaHitsHD.uk | SkyMegaHitsHD
SkyNewsArabia.uk | SkyNewsArabia
SkyPremiere+1.uk | SkyPremiere+1
SkyPremiereHD.uk | SkyPremiereHD
SkyShowcase+1.uk | SkyShowcase+1
SkyShowcaseHD.uk | SkyShowcaseHD
SkySp+.uk | SkySp+
SkySp+HD.uk | SkySp+HD
SkySp.Action.uk | SkySp Action
SkySp.ActionHD.uk | SkySp ActionHD
SkySp.Cricket.uk | SkySp Cricket
SkySp.F1.HD.uk | SkySp F1 HD
SkySp.F1.uk | SkySp F1
SkySp.Fball.HD.uk | SkySp Fball HD
SkySp.Fball.uk | SkySp Fball
SkySp.Golf.HD.uk | SkySp Golf HD
SkySp.Golf.uk | SkySp Golf
SkySp.Mix.HD.uk | SkySp Mix HD
SkySp.News.HD.uk | SkySp News HD
SkySp.PL.HD.uk | SkySp PL HD
SkySp.Racing.HD.uk | SkySp Racing HD
SkySp.Racing.uk | SkySp Racing
SkySp.Tennis.HD.uk | SkySp Tennis HD
SkySpBoxOff.uk | SkySpBoxOff
SkySpCricket.HD.uk | SkySpCricket HD
SkySpMainEvHD.uk | SkySpMainEvHD
SkyValentineHD.uk | SkyValentineHD
Smooth.uk | Smooth
SonLife.uk | SonLife
Spider-Man.HD.uk | Spider-Man HD
SportyStuff.HD.uk | SportyStuff HD
Spotlight.TV.uk | Spotlight TV
Studio.66.3.uk | Studio 66 3
Sukh.Sagar.uk | Sukh Sagar
TBN.UK.uk | TBN UK
TCM.Movies+1.uk | TCM Movies+1
TJC.Beauty.uk | TJC Beauty
TJC.HD.uk | TJC HD
TJC.uk | TJC
TLC+1.uk | TLC+1
TLC.HD.uk | TLC HD
TNT.Sport.BoxOffice.HD.uk | TNT Sport BoxOffice HD
TNT.Sports.1.HD.uk | TNT Sports 1 HD
TNT.Sports.10.HD.uk | TNT Sports 10 HD
TNT.Sports.2.HD.uk | TNT Sports 2 HD
TNT.Sports.3.HD.uk | TNT Sports 3 HD
TNT.Sports.4.HD.uk | TNT Sports 4 HD
TNT.Sports.5.HD.uk | TNT Sports 5 HD
TNT.Sports.6.HD.uk | TNT Sports 6 HD
TNT.Sports.7.HD.uk | TNT Sports 7 HD
TNT.Sports.8.HD.uk | TNT Sports 8 HD
TNT.Sports.9.HD.uk | TNT Sports 9 HD
TNT.Sports.Box.Office.2.uk | TNT Sports Box Office 2
TNT.Sports.Box.Office.uk | TNT Sports Box Office
TNT.Sports.Ultimate.HD.uk | TNT Sports Ultimate HD
TNT.Sports.Ultimate.uk | TNT Sports Ultimate
TNTSBoxOff2HD.uk | TNTSBoxOff2HD
TRT.World.HD.uk | TRT World HD
TRT.World.uk | TRT World
TV.One.uk | TV One
TV.Warehouse.uk | TV Warehouse
TVC.News.uk | TVC News
TVX.40+.uk | TVX 40+
TWR.uk | TWR
Takbeer.TV.uk | Takbeer TV
TalkTV.HD.uk | TalkTV HD
TalkingPictures.uk | TalkingPictures
Television.X.uk | Television X
Thats.Dance.uk | Thats Dance
Thats.Melody.uk | Thats Melody
Thats.TV.2.uk | Thats TV 2
Thats.TV.3.uk | Thats TV 3
Thats.TV.uk | Thats TV
The.Box.uk | The Box
The.Craft.Store.uk | The Craft Store
Tiny.Pop+1.uk | Tiny Pop+1
Tiny.Pop.uk | Tiny Pop
Together.uk | Together
Trace.Hits.uk | Trace Hits
Trace.Vault.uk | Trace Vault
Travelxp.uk | Travelxp
True.Crime.+1.uk | True Crime +1
True.Crime.Xtra.uk | True Crime Xtra
True.Crime.uk | True Crime
U.and.Dave.HD.uk | U and Dave HD
U.and.Dave.ja.vu.uk | U and Dave ja vu
U.and.Drama+1.uk | U and Drama+1
U.and.Drama.+1.uk | U and Drama +1
U.and.Drama.uk | U and Drama
U.and.Eden+1.uk | U and Eden+1
U.and.Eden.uk | U and Eden
U.and.GOLD+1.uk | U and GOLD+1
U.and.GOLD.HD.uk | U and GOLD HD
U.and.Gold.uk | Gold
U.and.W+1.uk | U and W+1
U.and.W.HD.uk | U and W HD
U.and.YESTERDAY+1.uk | U and YESTERDAY+1
U.and.YESTERDAY.uk | U and YESTERDAY
U.and.alibi.HD.uk | U and alibi HD
UTV.uk | UTV
Utsav.Bharat.uk | Utsav Bharat
Utsav.GOLD.uk | Utsav GOLD
Utsav.Gold.HD.uk | Utsav Gold HD
Utsav.Plus.HD.uk | Utsav Plus HD
Venus.TV.uk | Venus TV
Virgin.Radio.uk | Virgin Radio
Vox.Africa.uk | Vox Africa
WION.HD.uk | WION HD
WRN.Europe.uk | WRN Europe
WildEarth.uk | WildEarth
Word.Network.uk | Word Network
XXX.College.uk | XXX College
XXX.Girl.Girl.uk | XXX Girl Girl
XXX.Mums.uk | XXX Mums
XXXpublicpikups.uk | XXXpublicpikups
Xpanded.TV.uk | Xpanded TV
Zee.Cinema.uk | Zee Cinema
Zee.TV.HD.uk | Zee TV HD
alibi+1.uk | alibi+1
babes.and.brazzers.uk | babes and brazzers
iON.TV.uk | iON TV
mta-muslim.tv.uk | mta-muslim tv
revelation.uk | revelation
talkSPORT.uk | talkSPORT
