# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Jan 21 00:19:11 UTC 2026

4seven.uk | 4seven
5.USA.uk | 5 USA
5ACTION.uk | 5ACTION
5SELECT.uk | 5SELECT
5STAR+1.uk | 5STAR+1
5STAR.uk | 5STAR
5USA+1.uk | 5USA+1
645e00d5d3fdde000829463a | More TV Sci-fi
6462190b7cb4b1000862dd60 | Pluto TV Alien Invasion
64634eb42858cb0008fd92d6 | How To Use Pluto TV
6490254fd2c47c00083a5743 | Now 80's
64c0d6765dc1660008a3e033 | U&amp;Transport
64c0d697b0cf5c000824e5d9 | U&amp;The Past
64c0d6b424ade50008bc8883 | U&amp;Real Heroes
64c0d6f34096290008132d6b | U&amp;Laughs
64c37e47dac71b000809abab | Evidence of Evil
64c37e710e086a0009e824ab | NOW 70's
64edf6eaa7ec0d000812f58c | South Park
64ff1d92d545e9000877fba4 | A Haunting
650315163a0d700008bb07f8 | Born to Kill
65031534d545e9000881ed10 | British Screen Classics
6514346fa76507000887d441 | Confess by Nosey
655b7cbb2c46f300086f0afa | Pluto TV Snooker 900
6568a78d635c3c0008765f41 | Now Rock
656df2849d5ac400083be647 | 5 Trucking Hell
656df599c0fc8800089c75ab | Avatar
656ef4af4261ca00083c8f37 | Totally Turtles
65819f83a620e300080f692a | Weird or What? With William Shatner
65a6a5e90c7ff50008cb9815 | Funny AF
65a6a7a00c7ff50008cba07b | Pluto TV Crime Drama
65a7ab137bdc8d0008487dfb | Pluto TV Erotica
65a7af553af63d000828acca | Cash In The Attic
65a7b01907e03a0008913e8f | Best of Dr. Phil
65a7b04e7bdc8d0008488307 | True Crime Now
65a7b0814a10d800085ff2df | Pluto TV PetrolHeads
65b14aae0cb1a100087a216e | DAZN Ringside
65b3895660eb8700089e7f53 | Car Chase
65c4960d11ced7000812c433 | Geordie Shore
65f0166566eec80008b96f7e | Pluto TV Wildest Adventures
660be37e7bcd860008793a6a | Bondi Rescue
660c209e19ca71000846cf38 | NOW 90s00s
660e5dc60cd4630008f6198a | JAG
661cf62d24e1d000087dae0d | COPS
